RECOGITO_ID,ANNOTATIONS,PAGE_NUMBER,ANNOTATED_TEXT,BARCODE
recogito-051190d9-4fce-41bd-943e-4e31e13fd3b7,animals 25F|camel 25F24|wine 41C711|plants vegetation 25G,162,"Den 26. Junii ſind wir früh mit der Sonnen Aufgang wieder aufgebro:
chen, und auf den Mittag haben wir abermals in der Sand- Wůſten die Cas
meel abgeladen, und habe ich unter meinem Zeltlein in ſehr heiſſen Sande mein
Mittags- Mahl verzehret, welches war Pißkotten, eingemachte Olivien und ein
Crunce Weins, und damit mein Vorrath vollends bin, und muſte ich die groſſe
heiſſe Wüſten hindurch vielmal greulichen Durſtleiden, wolte ich das ſtinckende
trübe Waſſer, worzu wir oftmals räumen muſten, nicht in mich ſchlagen, wie:
wol ich doch ohne deß aus höchſter Noth manchen Tag über in die ſechs, oder
acht Kannen getrunden, es mögte geſund oder ſchädlich ſeyn, fintemal der
Durſt ſehr wehe thut.",Z255430508
recogito-be9b278d-ed1f-4db6-9f80-4a6e372f3689,plants vegetation 25G,163,"Sie machten etliche Feuer auf den Sand, bernachy nahmen ſie ihre rauchhårige
lange Röcke, ſchütfeten Mehl drauf, feuchteten daſſelbe mit Waſſer an, und rühre.
tens, wie einen Teig, daraus machten ſie Kuchen in ſoldzer Groſſe und Runden, als
ein ziemlicyer Teller, und eines Daumens Dicke, f( oben dieſelben in den vom Feuer
erhikten Sand, daß fie gang mit Sande bedeckt wurden.",Z255430508
recogito-c26b3a73-dd77-42b1-a277-1ba7f8e30203,plants vegetation 25G|animals 25F|pig 25F24,163,"Und wenn ſie kaum eine
halbe Viertelſtunde gelegen hatten, alsdann zogen ſie ſie wieder herfür, und konten
den Sand fo rein wieder davon ſtreichen, daß man nicht ein Kornlein dran gewahr
ward, oder erbeiſſen fonte. Solch gebackenes Brod nahmen ſie hernach, ſo warm es
war, brocktens in eine tieffe bölgerne Schüſſel, goſſen Del und Eßig drauf, rühre-
tens, ſtatt der Löffel, mit den Händen um, die oft ſo ſdzón ausſahen, als wenn fie in
Jahr und Tag nicht wåren gewaſchen worden, fepten ſich in den Sand dabin, und
Fraſſen auch ſo mit den Händen, wie die Schweine. Das mogte wol eine Sau-
Mahlzeit ſeyn, ob ſie gleich ro begierig darzu waren.",Z255430508
recogito-38ce05f8-9246-4153-aa1e-629e9522fcbf,animals 25F|camel 25F24,165,"Die Araber in dieſer Wüſten ſind wilde uud viehiſche, ſchwarße Del farbige
ungeſtalte leute, welche meiſtentheils nackend gehen, nur daß ſie irgends ein hårin
Tuch um ſich hången, gehen mit einem langen Spießlein auf den Raub herum, le-
ben, wie die unvernünftige Thiere, in wüſten Steinflippen, auch wohl dren Tage
ohne Eſſen und Trincfen, und haben Gemeinſchaft mit den Cameelen, haben ſie aber
Weiber, ſo ſind es nicht ehelich getraute Weiber, wie dieſer Leute unten mit meh.
rern gedacht werden ſoll.",Z255430508
recogito-b8c1a92a-66a4-462f-986e-c3e44bd22933,plants vegetation 25G,165,"Auch gibts hier einen Tůrcifchen Tranck, Bufo genannt, welcher an Farbe
und Dické den Hefen gleich iſt, und ſtarck von Geſchmack, und deßhalben wol
Türckiſch Bier genennet werden könte. So ſind auch alhier die eingemachten
Datteln ſehr gutes Kaufs, denn ich die Occa, welches anderthalb Pfund, vor
ein Mettin kauffen können.",Z255430508
recogito-bc202417-ea36-4cf7-9924-da7cd240414d,subheading|animals 25F|insects 25F711,166,"DAB. V. Capitel.
Von etliden ſonderbaren Arabiſchen Ungeziefer.",Z255430508
recogito-ad01bdb6-490f-409f-b5d1-6638f9469362,animals 25F|reptiles 25F4|crocodile 25F43,166,"Die Enderen ſind einer guten Spanne lang, und and theils långer, faſt wie
ein Crocodil geſtalt, mit einem langen zugeſpißten Schwanke, vier Füſſen und eis
nem langen ſpißigen Kopffe, nur daß ſie nicht ſo eine harte ſcharffe Haut haben,
gleich wie der Crocodil.",Z255430508
recogito-c3dd92bc-2c30-4fb6-840a-33199f094bdf,animals 25F|other mammals 25F26|cat 34B12|beasts of prey predatory animals 25F23LION|plants vegetation 25G,166,"Die Egyptiſchen Mäufe, ſo auch P araonis- Mäuſe genennet werden, find
filberfarbig, auch theils weiß, oder bund, haben vorne höhere Füſſe, als hinten,
cinen Schwanz am Ende mit einem Büſchelein, gleich wie ein Löwe, einen Kopf,
faſt wie ein Kaken- Kopf, und ſind an Groſſe wie ein jung Käßlein, nur daß fie faſt
Schweinrüſſel und ſehr ſcharffe fpißige Zåhne haben. Sie thun groſſen Schaden
in Zuckerrohr auf dem Felde. Dahero die Bauren den Hütten- Rauch nehmen,
und in die Aecker unterſchiedener Orterrlegen. Denn, wenn ſie davon freſſen, oder
auch wol nur den Geruch empfinden, ſo müſſen ſie ſterben.",Z255430508
recogito-b68537ee-38e8-4554-a349-916a0997564a,subheading,167,"Das VI. Capitel.
Von unſerer Reiſe bis vollends zum Berge Sinai.",Z255430508
recogito-81e04528-f896-4481-943a-3b3afb192555,plants vegetation 25G|animals 25F|camel 25F24,168,"Das rothe Meer hatten wir ohngefehr drey teutſche Viertelmeilen zur
rechten Hand im vorbey Reiſen, und war ſehr breit anzuſehen, und ſind darauf
ſelbigen Mittag an den Ort kommen, den Moſes von obgedachten Brunnen aus
bis vollends an den heiligen Berg Sinai mit dem Volck Jſiael gezogen, allda
wir uns zwiſchem grünem Gebüſche in Sand legten, unſere Cameele abluden,
und ein wenig ruheten.",Z255430508
recogito-317dc569-fced-48c5-940f-7b30f40f61aa,animals 25F|camel 25F24,168,"Nachdem nun die Carovan, fo etwas zurücke geblieben war, allhier wieder
ju uns kam, haben wir unſere Cameel wieder belaſtet, und um halb Abend weiter
fortgereiſet, bis eine Stunde nach der Sonnen Untertang, dawir uns alss
denn wieder lagerten, und hatten zur lincken Hand hohes Gebürge.",Z255430508
recogito-4d0d5a2d-02b1-4490-b9d8-a1d80326076d,animals 25F|camel 25F24,168,"Auch kam dieſen Abend ein Grieche zu uns, welcher unter:
wegens, da er vom Berge Sinai mit einem Cameel und Treiber auf das obens
gedachte Stadtlein Suez zuin rothen Meer reiſen wollen, von 60. Mohren bes
raubet und bey nahe wäre ermordet worden.",Z255430508
recogito-1062b3b3-108d-43f1-93b4-8a9d520b7dd7,animals 25F|camel 25F24,168,"Denn derſelbepflegt gemeiniglich des Nachts
zu reiſen, wegen der groſſen Hiße des Tages, die Carovan aber der Eameel des
Tages, weil ſie die Hiße und Durſt beſſer vertragen können.",Z255430508
recogito-7deae595-2dd4-4ff3-865f-84b34d44f6ca,plants vegetation 25G,169,"Dieſer Thal war ſehr lang, und allenthalben voll grún Gebüſche, jedoch
mit hohen fteinfelſichten Gebürge befchloſſen, und haben wir alſo dieſen ganzen
Tag, als ſonſt noch niemals, in lauter grofſem Gebürge reiſen müſſen, da wir
uns denn unter einen grünen Baum, dem Sadenbaum nicht ungteich, im Schats
ten geleget.",Z255430508
recogito-02ad43b4-7943-451f-a380-2002b985f3ac,plants vegetation 25G,169,"Nachmittage ſind wir wieðer aufgebrochen, und war ſehr heiß, jedoch kain
uns ein kůbles Luftlein zuſtatten, und ſind auf das hohe Steinklippen- Gebůrge
kommen, worauf wir den ſchönen grånen langen Thal, darinnen wir Mittags-
Ruhehielten, gar fuſtig durchſehen können. Nach halb Abend haben wir uns
wieder gelagert, auf ſolcher Höhe dieſes Felfes, und hatten zur lincken Hand
abermal viel grůn Gebüſche, und lagen bis gegen Mitternacht: da wir denn
wieder fortzogen, und reiſeten etliche groſſe alte Steine vorbely, in welchen urs
alte Hebräiſche Schrift, welche aber ziemlich ausgangen, gehauen war, vonden
Kindern Ffrael zum Wahrzeichen, daß ſie alda durchgereiſet, zurücke blieben,
wie uns die Mohren berichtet, und find gegen Anbrud des Morgens zwiſchen
Gebůrge auf eine ebenen Weg kommen.",Z255430508
recogito-0b253ae8-cf0a-4835-8ceb-ebb217e00587,plants vegetation 25G,171,"Auf
beyden Seiten ſolches Weges waren grüne Büſchlein auf Sandhügeln ges
wachſen, wie ſonſt an vielen Drten mehr durch dieſe Arabilde Wüſten hindurch.",Z255430508
recogito-d3c2384c-c225-4c1b-979b-3a166dfb4296,subheading,173,"Das VIII. Capitel
Don weiterer fortfelung unſerer Reiſe.",Z255430508
recogito-7c0334ae-0f52-42c2-929f-ac3d1db7ad39,animals 25F|camel 25F24,173,"Eine halbe Stunde Nachmittage, ſind wir wieder mit den Cameelen auf
gebrochen. Zur rechten Hand gar nahe, hatten wir lauter Hügel und noch ims
mer Steinklippen, zur lincken aber lauter hoch Stein- Gebürge.",Z255430508
recogito-d79d48d8-d11f-4d97-972a-4badc94a34c2,animals 25F,173,"Zwiſchen dieſen Hügeln und Steinfelſen iſt ein Mohr mit ſeinem Weis
be, die das Geſichte verdeckt hatte, aus einertieffen und hohlen Stein- Kluft, in
dergleichen ſich denn die Mohren und Araber, als das wilde Vieh, aufhalten,
zu uns kommen, hatte einen ledern Sac bey ſich, und bath uns um etwas
Waſſer, wie wir ihm denn auch etroas mittheileten, ob wir es gleich nicht übrig
hatten und es lieber behalten hätten.",Z255430508
recogito-a8d8b23d-fd03-4536-a2d1-61a7814dc6d2,animals 25F|camel 25F24,174,"Ein Viehiſches Volck iſt es, denn ſie wohnen entweder in ſolchen tieffen finſterm
Höhlen und Klüften, oder ſpannen da in der Wüſten auf dem Sande fchwarke, eder
weiſſe grobhårige Tücher auf, darunter ſie vor der Sonnen Hige kriechen, leben, vis
das unvernünftige Vieh, nehmen zwar Weiber, aber keine zur Ehe, achten keine
Blutfreundſchaft, und leiden Hunger und Durſt, wie ſie denn nichts haben, als
was ſie rauben und ſtehlen, davon ſie ſich und ihre Kinder erhalten. Ihre Cameele,
taſſen ſie da in der Wüſten im Sande fren gehen, und mögen ſehen, wie und wovon
fie ſich erhalten, dann von ihren Herrn ſie ſich weniger Hülffe zu getröſten haben.",Z255430508
recogito-024e6b56-cd7e-4fd3-a01f-41c4b0d13704,animals 25F|dairy products and eggs 41C64|camel 25F24,174,"Hiervor verehrete ich ihr und ihren Kindern etliche weifle Pihkoten, welche
ihnen ſo groß Ding waren, krochen demnach bald dainit unter ihre hyårinne De
de, und brachten darauf auch einen Krug vol Cameel- Milch, die ich nicht trins
den konte, mein Türde aber foffe ſie alſo warm, ais ſie gemolcken war, mit
Luſt binein, goſſe auch davon eine Sdüfi voll ein, brocte Piffoten drein,
und aß ſie aus mit feinem natürlichen Löffel, nemlich ſeinen Händen, die ei
wol wie lange, dem höflichen Anſeben nadı, nicht gewaſchen t; atte. Das hätte
einem wol appetit machen können, ob er gleich ſonſt nicht hungrig noch durftig
geweſen wäre.",Z255430508
recogito-54ce8f0d-2468-4798-8c12-9a98b635724c,animals 25F|camel 25F24,175,"Und weil ich von jeştgedachter Mohrin Nachricht bekam, wo folch friſch
Waſſer im Gebürge zu holen, ſchickte ich mit einem Mohr dahin, und ließ mir
auf einem Cameel auch einen Uter deſſelben bolen, damit ich mich wieder auf die
Reiſe behelffen konte.",Z255430508
recogito-8e702dae-eae9-4fe6-afe1-154c3a55e1a1,plants vegetation 25G,175,"Den 3. Julii, früh um Sonnen Aufgang, ſeynd wir wieder fortgereiſet, und
baben uns eine Stunde Vormittage unter einem ftadylichten Gummi- Bauin ge-
lagert, weil wir dieſen Morgen unausſprechliche Hiße ausgeſtanden.",Z255430508
recogito-41b8e9ab-8611-4c26-9351-24d8f21c721a,animals 25F|camel 25F24|horses and kindred animals 46C1314,176,"Die Mohren, welche hier zu der Carovan der Cameelen beſtellet, werden
in ihrer Sprache Pedubeen genannt, die aber zu den Eſeln, Mukker. Die Ca-
melotten, oder Pedubeen gehen, wie oben gemeldet, in den allerheiſſeſten und von
der Sonnen entbrannten Sande entweder gang barfuß, welches ich doch in guten
ftaren Schuhen nicht thun fónnen, oder brauchen Sohlen von Cameel- Haut, die
fie veſt anbinden, tragen lange weiſſe, oder blaue Henden, mit langen weiten Er-
meln von anderthalben Ellen weit, und ſonſt keine andere Kleider. Um den Leib
gürten ſie ſich mit einem breiten federn Gürtel, und auf der Bruſt führen ſie an dem
felben Gürtel einen langen ſpißigen und frumuren Dolch, oder Mefler, ihr Gewehr
aber iſt ein langer Spieß, deſſen Schaft ohngefähr eines guten Daumens dicke,
und von 14. bis 16. Schuh lang, woran oben ein klein ſpißiges Eiſen",Z255430508
recogito-ce9e79ff-e69e-4e3a-b431-d1e5c28b622b,animals 25F|snakes 25F42,179,"Ferner hinaus unten auf dent Thal iſt ein ander groſſer rother Stein, in
Deſſen Mitte ein rundes Loch: und jagen die Mohren, daß zur ſelbigen Zeit, als
Möres mit ſeinem Stabe den Felß zertheilet, er daſelbſt eine groſſe Schlange
gefunden, dieſelbe zerhauen, und den Kopf auf das hobe Gebůrge zur recten
Hand, wenn inan in den Thal reiſet, geworffen haben folle.",Z255430508
recogito-24f91c64-ac38-4404-bb45-707ac83ea5a3,title,180,"Das fünfte Buch.
Begreift einen Bericht von dem Berge Sinai in Arabien
und was ſelbiger Orten denckwürdiges zu ſehen iſt.",Z255430508
recogito-cfa760f1-a5d0-477a-99c3-309df7c1f3bd,plants vegetation 25G,181,"Dieſes Cloſter liegt in einem tieffen Thal, auf einer Seiten im hinein reiſen ix
lauter hohem Stein- Gebürge, gleid, vor demſelben herauſſen iſt ein langer ſchöner
Luſtgarten mit hohen Mauren umgeben.",Z255430508
recogito-62713c91-eed2-4930-b1ec-2c0c1b156087,subheading,182,"Das II. Capitel.
Von dem Griechiſchen Clofter, und feinem Zifande inſonderheit.",Z255430508
recogito-95e7a981-c2ae-4f16-a787-4d96a944e6fb,animals 25F|sheep 25F24,183,"Dein Auegange dieſer Kirche, gleich gegen über iſt eine ſehr tieffe Ciſtern,
oder Brunn, meiſtentheils in Felſen gebauen, aus welcher Moſes ſeine Schaafe ges
tråncket, dieweil er ſchon zu Moſis Zeiten allda geweſen ſeyn ſoll.",Z255430508
recogito-fed56d45-84a7-4240-af0b-50052585c0ec,animals 25F|worms 25F73|snakes 25F42|insects 25F711,184,"Dieſer Brunn iſt wunderbarlich, und auf ſolche Weiſe entſprungen; Es
ſind einsmals in dieſem Cloſter ſo viel giftige Würmer, Schlangen und ander Unge-
ziefer geweſen, daß aud) die Münche willens geweſen, daſſelbe gar zu verlaſſen, und
fich mit dem Leib S. Catharina anders wohin zu begeben.",Z255430508
recogito-23aefc88-0e88-4bcd-ac20-ae3923cafa61,animals 25F|worms 25F73|insects 25F711,184,"Weil ſie aber noch zu
guter leßt die heiligen Stätten hin und wieder mit Andacht erſuchten, und mit einer
Proceflion uin die heiligen Berge giengen, und nun wieder im herabgehen waren,
iſt in der Höhe über den Brunn, wo jego ein Kirdzlein im rauhen felrichten Gebürge,
zum Gedächtniß deſſen, erbauet iſt, ihnen die Jungfrau Maria erfdienen, und hat
fie mit ſolchen Worten angeredet: Sie ſolten keines Weges aus dein Cloſter wei-
chen, fie wolte ben GOTT ſo viel zuwege bringen, daß hinfort kein Wurin, noch
fchädlich Ungeziefer drinnen mehr folte geſehen werden, und iſt hierauf bald für ihren
Augen verſchwunden, worüber fid, die Münche befi ig entfeßet, und vermeynet,
daß es ein Geſpenſt geweſen.",Z255430508
recogito-360ee08e-f8c5-47a8-9dea-bcf0d4a5a8b7,animals 25F|insects 25F711,184,"Drauf find
die Münche wieder in das Cloſter gangen, und haben von da an, bis auf die beutige
Stunde, vom Ungeziefer Friede gehabt.",Z255430508
recogito-72acf581-5c8a-480b-96eb-6c62dbbca658,pages,184,--- 00185_page185.txt ---,Z255430508
recogito-c8b8f969-b8fb-4ece-a41c-f55f521faf3d,animals 25F|bees 471244|wax - bee-keeping 47I2422,187,"In dieſer Capelle räucherte der Münch, zündete
cin Wachslichtlein an, und ließ es brennen, als wir heraus giengen.",Z255430508
recogito-e390a307-1e66-4e3c-bdcb-63e078e0ccd3,plants vegetation 25G,188,"Auf obgedachten ebenen Plake war ein ſchön luſtig Gårtlein, zur linden
Hand aber dren kleine långlichte fa maleCapellen aneinander gebauet mit Hachen nies
drigen Dächern, ſo von Eſtriche geweſen waren, und fino djart an den Berg Horeb
angebauet.",Z255430508
recogito-b5d07710-a3e6-4934-8e5f-99a555690578,plants vegetation 25G|wine 41C711,189,"Allein die groſſe Gefahr, der Abend und mir eingebildete Unmůglich
keit, weil anders nichts, ſo weit man ſehen konte, als Klippen und Fetſen grauſas
mer Geſtalt und unausſprechlicher Höhe, zu ſehen waren, nöthigte mich wieder
zurücke herunter, und ſtiegen alſo mit ſehr müden Füſſen über ſolches zerbrochene
und rauhe unebene Gebürge wieder herab, und kamen ziemlich fpat in vorges
dachte unſere Nacht- Herberge, die Capelle des Propheten Elifæi, nahmen unſere
Nacht- Mahlzeit ein, welche war von eingemachten Dliven mit Del und Ebig,
ſamt einem Brandtewein, aus Tatteln gemacht, auf einem alten verwüſteten Als
tar in folcher Capelle, den wir ſtatt eines Tiſches gebrauchten, und legte ich mich
drauf an die Wand auf die Erden, aufharte Dornſtengel und Diſteln, nahm eis
nen Stein, ſtatt des Polſters, unters Haupt, und ſchlief alſo, bey ſtets brennens
den Lichten, vor groſſer Müdigkeit auf meinem weichen Bette, fo gut es ſeyn
konte, gar ſanfte die gange Nacht hindurdy, bis an den hellen Morgen, und hats
ten wir drauf gar einen Tchönen bellen Tag, der uns, noch weiter umzuſehen,
fehr dienlich war.",Z255430508
recogito-e953647e-f20f-409f-b6c6-42ff9965260a,plants vegetation 25G,189,"An dem Gártlein obgedachtes Plakes iſt ein groſſer rocher Stein, worauf die
Kinder Iſrael Hebräiſch gegraben, und vor dem Garten drey aneinander gefekte Zeis
len Steine, auf deren zwey äuſſerſten die Mündje vor viel hundert Jahren geſeſſen,
wenn ſie geſpeiſet, und auf dem mittelſten, als ihrem Tiſche, das Eſſen ſtehen gehabt.
So iſt auch ein ſchöner friſcher Brunn an dieſem Orte, nale bey dem Garten.",Z255430508
recogito-8ea40271-4314-4a21-9d13-65411c9d6f95,animals 25F|camel 25F24,190,"Nechſt dieſem war ein anderer zerſprungener rother Stein, in welchem eine
redyte natürliche Cameel- Trappe, oder Tritt zu ſehen war, und ſagen die Moh-
ren diß davon: Es wåre ihr Prophet Mahomet mit einem Cameel den heiligen
Berg hinauf geritten, und da hatte das Thier durch GOttes Schickung, einen
folchen Tritt und Gedächtniſ- Spur nach ſich laſſen müſſen, die nun noch bis auf
Den heutigen Tag zu ſeben wäre, und ſich im geringften nicht anderte. Ignoran-
tes delectantur fabulis.",Z255430508
recogito-ea063ee8-cdfb-4eb0-91cb-ea6d263791de,animals 25F|worms 25F73,192,"Also gab dieſe Jahre aude ein Doctor Medicina eine Sdirift
an Tag, in welcher er vorgab, der Tod wäre ein Wurm in des Menſchen leib und
Blute, ward aber von den Philofophis auf Academien wacer durchwyrmet, und
faſt gar wurinigt gemadzet.",Z255430508
recogito-54cea2cb-b7b3-4ba8-ae0f-4f1e5760733e,plants vegetation 25G,194,"Nachmittage, ohngefehr um 1. Uhr bin ich mit dem Münche und meinem
Türcken aus dem Cloſter den hohen ſchieferigen und jieinigten ſchwarzen und
braungleiſſenden S. Catharinen- Berg hinauf geſtiegen, und haben unterwegs
etliche kühle Brünntein gefundin, um welche herum es voll wotrůcher: de frems
de und mir unbekandte Kräuter geſtanden. Man ſiehet und findet da auch
viel Steine auf und an dieſem Catharinen- Berge, in welchem Bildniſſe vor
allerhand Geſtalten und Kräutern gewachſen, daß ſie nicht berrier könten drauf
geſtochen und gemahlet ſeyn. So fpielet die Göttliche Weisheit und Allmacht
in der Natur.",Z255430508
recogito-fb4def3f-2002-4048-8de6-07b9972146fd,plants vegetation 25G,196,"Uber alle maſſe aber luſtig ſind zu ſehen die vielfältigen ſchönen( uſrigen
Gårtlein, welche die Griechiſdien Münche auda in der groſſen Wildniß, in denen
zwiſchen ſolchen ſchrecklichen hoben Bergen befindlichen Tälern, erbauet und
gepflanket. Wenn man da von dem rauben und bloſſen hohen Gebürge herunter
und in demſelben hinein, und wie ſie mit allerhand ſchönen Bäumen und Frůdy:
ten gezieret, ſiehet, fo erquicfet und erfreuet es einen gar.",Z255430508
recogito-4e67b19c-2b70-4e27-adff-b7194f9cca3a,animals 25F|beasts of prey predatory animals 25F23LION,198,"Als er aber hernad, ſeinen Leib begraben wolte,
und weder Hacke, nod, Spaten hatte, follen zwey Löwen kommen, und ihm das
Grab geſcharret haben, dahat Paphnutius die Leiche init ſeinem Mantel behúllet,
und in die von gedaditen Idwen geſcarrete Höhle begraben haben. Theatr. Vit.
Hum. f. 2688.",Z255430508
recogito-d828c89f-3821-4437-8051-db5241679778,plants vegetation 25G,198,"Gegen über zur rechten Hand war das Cloſter S. David, allda auch ein
groſſer luſtiger Garten von Mandeln, Granaten, und andern fremden Bäumen,
Geváchſen und Früchten, jedoch diſmal noch nicht reiff war. Aud) ſind ums
gange Clofter herum lauter ſchöne tuftige Gärtlein, und einer noch auſſerhalb,
welcher groß, und einen herrliden friſchen Brunnen lat.",Z255430508
recogito-b8d14899-ab3a-4d11-9df6-f28677bc1224,animals 25F|cattle 47I21,199,"Nidyt gar ſo weit von S. David, nach dem Griechiſchen Cloſter, unten am
Berge Sinai, da id, faſt und vor etlichen Tagen mit meinem Münch und Türchen
ausgegangen war, iſt ein weiſſer Stein im weiten Thal, wo die Kinder Ifrael das
gegoſſene Kalb angebetet, und Moſes, im Herabgeben vom Berge Sinai, im Zorn
die zwo ſteinerne Geſetz- Tafeln zerworffen, und iſt davon ein lody, wie ein O difen
Kopf init Hörnern im Steine.",Z255430508
recogito-9323a77c-fb68-47c0-a4d7-4ad517987546,animals 25F|snakes 25F42,199,"Bald hierauf ſind wir zur rechten Hand zu einem weiß- grauen Stein
kommen, allda Mulis die Schlange erhöhet hat, auf welchem lange Schrammen
und Streiffe zu ſehen, gleich als Sdlangen Spuren, ziemlich tief in den Stein:
Und ſagen dieGriechen, daß die TafelnMoſis unter dieſen Stein verborgen liegen.",Z255430508
recogito-08602bda-90b5-4e28-add9-c6a13b6103bb,plants vegetation 25G,200,"Unten im Thal
iſt der Ort, da er den Burdy brennen ſehen.",Z255430508
recogito-aa4c9cdc-26cf-4163-9e67-5c647e00d7b9,plants vegetation 25G,200,"Dieſen Abend bin ich in einen ſchönen langen luſtigen Garten, auſſer dem
Cloſter, von 2. Griechiſchen München, ſo über denſelben zu gebieten hatten, zu
Gaſte geladen worden, die mich auc), ihrer Gelegenheit nach, mit grünen Mans
dein, Feigen, Dliven und Aepfeln aufs freundlichſte tractiret. In dieſem Garten
iſt auch eine Capelle und Brunn.",Z255430508
recogito-9ef358cc-8916-4052-8bf9-344fb82c7ebe,title,201,"Begreift einen Bericht von meiner Rücreiſe vom Berge
Sinai, wieder nach Babylon in Egypten.",Z255430508
recogito-2462670b-49f0-488f-b21d-4ee8e1cd04c9,animals 25F|camel 25F24,201,"Vor halb Ábend ſind wir wieder unter einen ſehr groſſen hohlen Stein zu
raſten kommen, welches darum geſchehen mufte, weiln uns unſereCameele nach
Sonnen Untergang, von etwas abgelegenen Orten zugebracht werden ſolten,
und deßhalben drauf warten müſſen. Nachdem aber unſere Cameele nach 2.
Stunden in der Nacht ankommen, ſind wir wieder aufgewefen, und haben in
die drey Stunden gereiſet, und hernach in der Wüſten im Sande, bis auf den
Morgen, etwas geruhet.",Z255430508
recogito-19dddf96-7c37-4e93-9b61-8549878997a7,animals 25F|snakes 25F42,202,"Nach etlichen Stunden
ſind wir wieder aufgebrochen, und des Nachts fortgereiſet, bis zu Ambruch des
Tages, damit wir einen bequemern Ort angetroffen, weil wir an dieſem Orte
um der daſelbit befindlichen vielen folwarken Schlangen willen, nid) t biciben
können. Waren groſſe lange, ſchwarge und ſehr giftige Schlangen, in groſs
ſer Menge, davon auch die Mohren mit ihren Spieſſen gar viel umgebracht
und erſtochen haben.",Z255430508
recogito-b0aa851d-2ff7-4d88-b935-88db83b73d31,plants vegetation 25G,202,"Den 13. Julii ſind wir Berg ab, ziemlich hoch und ſteinigt, gezogen, hernach
in einen langen Thal kommen, da wir drey Stunden Vormittage gerubet, unter
einem flachlichtem Gummi- Baume, und haben wir uns wegen der réuberiſchen
Mohren, abermals ziemlich fürchten müſſen, ſintemal uns ett che Mohren, ſo aus
dem wüſten Gebůrge zu unſern Mohren kommen, und init denſitben gegeſſen, fo
viel zu verſtehen gegeben, daß ſich dergleichen räuberiſches Geſinde in diefer Ges
gend ſehr viel auflyielte.",Z255430508
recogito-d2b67b56-0727-4918-a1f8-09ff8a25f8c7,animals 25F|snakes 25F42|reptiles 25F4,202,"Von Mittag aus haben wir erftlich fandig Gebürge auf gehabt, vor halb
Abend aber ſind wir zwiſchen ſehr engen ſteinigten hoben Gebirge wiederum in
Thal ab ko.nmen, ſo ſehr tief von Sande war, deshalben wir abgeſeffen, und uns
ein wenig niedergelaſſen und ſtille gelegen, wiewol es abermals an dem Orte ſehr
viel Sdlangen, Ottern und Eideren gegeben, die uns nicht wenig vexiret haben.",Z255430508
recogito-27591d1c-1d21-4a3c-a9b9-f65dc13502bd,animals 25F|camel 25F24,203,"Und haben wir uns geſtern und heute, der Mobren wegen, ſo ſich zur rechten
Hand in einem weiten Grunde, Grundel genennt, wegen des Waſſers, ſich
und die Cameele dabei zu tráncken; oft aufzuhalten pflegen, abermals ſehr zu
befürchten gehabt, wiewol uns der Allerhodiſte bishere noch immer in Gnaden
bebåtet hat.",Z255430508
recogito-792bca37-b735-4468-9d97-472d7d5057e6,animals 25F|dairy products and eggs 41C64|fowl cock hen chicken etc 34B232,203,"Wenn
man neun Eyer in folch heiß Waſſer im Loche leget, findet man nimmer davon meht,
als adyte wieder, darüber ſich denn hoch zu verwundern, und weiß niemand zu ſagen,
wie es zugehe, noch wo das neunte hinfomme. Manſagt, daß der böſe Feind
leibhaftig darinnen wohnen ſoll, und iſt eine úberaus groſſe Hiße darinnen. Und for
viel von Pharaonis Bade.",Z255430508
recogito-46a7c1f0-e58e-424a-b64a-f30cd18a9f5e,animals 25F,205,"Am Strande des Meeres habe ich audy groſſe weiſſe Corallen- Aejte mit vies
len Zacken in groffer Menge gefunden, und wachſen in dieſem Meere unter dem
Waſſer rechte hobe Corallen- Bäume mit vielen Arſten und Zweigen, wie ich mit
Verwunderung geſehen: Und ſind folche Bäume ſo ſtaro und dicke, daß ſich
oftmals die Schiffe, wenn ſie anfahren, dran zerfoſſen und zu ſtücken gehen.",Z255430508
recogito-d90ff15e-36e0-437a-a301-c73b2da8917f,animals 25F|fabulous animals 25FF|birds 25F3|dog 34B11|other mammals 25F26|fishes 25F6,205,"So gibts auch in dieſem Meere allerhand feltfame Thiere, als Meerhunde,
welche die Menſdyen freſſen, Meer- Männer, oder Meer- Wunder, welche oben
Menſchen- Geſtalt, unten aber Fiſch- Geſtalt haben, wie id) denn zu Babylon in
Egypten oder Cair bey einem Franßöſen eine ganke Hand von dergleichen Meers
Menſchen geſehen, welche die gangeGeſtalt einer Menſchen- Szand, mit Gliedern,
Haut und Nägeln batte, nur daß die Finger mit einem dinnen Häutlein zuſama
men giengen und hingen, wie an Gänſen, Enten und andern ſchwimmenden
Thieren zu reben iſt.",Z255430508
recogito-7148b39e-6d3b-48ef-92ac-854a581625cd,scan mistake,205,"gewaſchen, habe it:
inge ausgeworffes
Reifende und Eink
aber wirft es auto
r weit, ſo unter
von den Seefahren",Z255430508
